/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:3.4 CYCLES:3350 ICOUNT:973 IHITRATE: 209.1 DHITRATE: 40.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:3.6 CYCLES:3493 ICOUNT:973 IHITRATE: 218.3 DHITRATE: 36.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:3.3 CYCLES:3168 ICOUNT:973 IHITRATE: 197.5 DHITRATE: 45.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:3.4 CYCLES:3324 ICOUNT:973 IHITRATE: 207.5 DHITRATE: 40.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:3.3 CYCLES:3181 ICOUNT:973 IHITRATE: 198.3 DHITRATE: 45.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:3.2 CYCLES:3155 ICOUNT:973 IHITRATE: 196.7 DHITRATE: 45.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:3.3 CYCLES:3220 ICOUNT:973 IHITRATE: 200.8 DHITRATE: 43.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:3.2 CYCLES:3155 ICOUNT:973 IHITRATE: 196.7 DHITRATE: 45.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:3.6 CYCLES:3480 ICOUNT:973 IHITRATE: 217.4 DHITRATE: 36.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:3.4 CYCLES:3350 ICOUNT:973 IHITRATE: 209.1 DHITRATE: 40.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:3.4 CYCLES:3350 ICOUNT:973 IHITRATE: 209.1 DHITRATE: 40.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:3.6 CYCLES:3493 ICOUNT:973 IHITRATE: 218.3 DHITRATE: 36.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:3.3 CYCLES:3168 ICOUNT:973 IHITRATE: 197.5 DHITRATE: 45.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:5.0 CYCLES:50 ICOUNT:10 IHITRATE: 230.0 DHITRATE: 34.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:8.1 CYCLES:57 ICOUNT:7 IHITRATE: 169.2 DHITRATE: 30.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:4.1 CYCLES:37 ICOUNT:9 IHITRATE: 111.1 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:6.8 CYCLES:48 ICOUNT:7 IHITRATE: 100.0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:5.7 CYCLES:51 ICOUNT:9 IHITRATE: 240.0 DHITRATE: 33.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:9.7 CYCLES:58 ICOUNT:6 IHITRATE: 176.9 DHITRATE: 28.6
